subject,condition,block,group,item,word,phoneme,accuracy,raw_rt
6,target2,block1,4,17,bod,o,1,3132
6,target2,block1,4,18,mop,o,1,2695
6,target1,block1,4,19,myth,th,1,3574
6,filler,block1,4,20,core,core,1,1292
6,target2,block1,5,21,foster,o,1,1892
6,target1,block1,5,22,seem,s,1,1592
6,target1,block1,5,23,path,th,1,2043
6,target2,block1,5,24,block,o,1,903
6,filler,block1,5,25,tear,tear,1,1122
6,target1,block1,6,26,growth,th,1,2533
6,target2,block1,6,27,bond,o,1,1129
6,target2,block1,6,28,bad,no,1,1083
6,target1,block1,6,29,miss,s,1,1303
6,filler,block1,6,30,male,male,1,1982
6,target1,block1,7,31,sought,s,1,4041
6,target2,block1,7,32,cap,no,1,790
6,target2,block1,7,33,map,no,1,767
6,target1,block1,7,34,worse,s,1,2932
6,filler,block1,7,35,guest,guest,1,792
6,target2,block1,8,36,battle,no,1,1061
6,target1,block1,8,37,sigh,s,1,992
6,target1,block1,8,38,think,th,0,1122
6,target2,block1,8,39,pot,o,1,1436
6,filler,block1,8,40,dental,dental,1,893
7,target1,block1,1,1,thought,th,1,2943
7,target2,block1,1,2,block,o,0,1421
7,target2,block1,1,3,battle,no,0,2009
7,target1,block1,1,4,think,th,1,2024
7,filler,block1,1,5,fell,fell,1,3119
7,target1,block1,2,6,theme,th,1,1291
7,target2,block1,2,7,faster,no,1,1774
7,target1,block1,2,8,worse,s,0,1960
7,target2,block1,2,9,band,no,1,2184
7,filler,block1,2,10,leak,leak,1,1761
7,target2,block1,3,11,cop,o,1,3254
7,target1,block1,3,12,pass,s,1,1273
7,target2,block1,3,13,pat,no,1,2004
7,target1,block1,3,14,thigh,th,1,2531
7,filler,block1,3,15,tick,tick,1,1295
7,target1,block1,4,16,gross,s,1,1858
7,target2,block1,4,17,bod,o,1,3033
7,target2,block1,4,18,mop,o,1,1353
7,target1,block1,4,19,miss,s,0,5302
7,filler,block1,4,20,core,core,1,1528
7,target2,block1,5,21,foster,o,1,1733
7,target1,block1,5,22,seem,s,1,1820
7,target1,block1,5,23,path,th,1,2686
7,target2,block1,5,24,block,o,1,1305
7,filler,block1,5,25,tear,tear,1,687
7,target1,block1,6,26,growth,th,1,1409
7,target2,block1,6,27,bond,o,1,1141
7,target2,block1,6,28,bad,no,1,995
7,target1,block1,6,29,miss,s,1,1715
7,filler,block1,6,30,male,male,1,3191
7,target1,block1,7,31,sought,s,1,979
7,target2,block1,7,32,cap,no,1,947
7,target2,block1,7,33,map,no,1,950
7,target1,block1,7,34,worse,s,1,1105
7,filler,block1,7,35,guest,guest,1,1241
7,target2,block1,8,36,battle,no,1,946
7,target1,block1,8,37,sigh,s,1,797
7,target1,block1,8,38,sink,s,1,1243
7,target2,block1,8,39,pot,o,1,702
7,filler,block1,8,40,dental,dental,1,1310
8,target1,block1,1,1,thought,th,1,1511
8,target2,block1,1,2,black,no,1,1443
8,target2,block1,1,3,bottle,o,1,3466
8,target1,block1,1,4,think,th,1,859
8,filler,block1,1,5,fell,fell,1,1746
8,target1,block1,2,6,theme,th,1,3567
8,target2,block1,2,7,faster,no,1,1267
8,target1,block1,2,8,worth,th,1,977
8,target2,block1,2,9,band,no,1,1607
8,filler,block1,2,10,leak,leak,1,1826
8,target2,block1,3,11,cop,o,1,1881
8,target1,block1,3,12,pass,s,1,1876
8,target2,block1,3,13,pat,no,1,1445
8,target1,block1,3,14,sigh,s,0,1603
8,filler,block1,3,15,tick,tick,1,991
8,target1,block1,4,16,gross,s,1,2021
8,target2,block1,4,17,bad,no,0,1199
8,target2,block1,4,18,mop,o,1,2390
8,target1,block1,4,19,myth,th,1,1359
8,filler,block1,4,20,core,core,1,1488
8,target2,block1,5,21,foster,o,1,1025
8,target1,block1,5,22,seem,s,1,824
8,target1,block1,5,23,path,th,1,1000
8,target2,block1,5,24,block,o,1,1182
8,filler,block1,5,25,tear,tear,1,748
8,target1,block1,6,26,growth,th,1,1072
8,target2,block1,6,27,bond,o,1,1010
8,target2,block1,6,28,bad,no,1,1144
8,target1,block1,6,29,miss,s,1,997
8,filler,block1,6,30,male,male,1,870
8,target1,block1,7,31,sought,s,1,1512
8,target2,block1,7,32,cap,no,1,1574
8,target2,block1,7,33,map,no,1,923
8,target1,block1,7,34,worse,s,1,1145
8,filler,block1,7,35,guest,guest,1,811
8,target2,block1,8,36,battle,no,1,1269
8,target1,block1,8,37,sigh,s,1,861
8,target1,block1,8,38,sink,s,1,984
8,target2,block1,8,39,pot,o,1,994
8,filler,block1,8,40,dental,dental,1,714
9,target1,block1,1,1,thought,th,1,1969
9,target2,block1,1,2,black,no,1,1659
9,target2,block1,1,3,bottle,o,1,2261
9,target1,block1,1,4,think,th,1,1552
9,filler,block1,1,5,fell,fell,1,1602
9,target1,block1,2,6,theme,th,1,1569
9,target2,block1,2,7,faster,no,1,1552
9,target1,block1,2,8,worse,s,0,2113
9,target2,block1,2,9,band,no,1,1552
9,filler,block1,2,10,leak,leak,1,2373
9,target2,block1,3,11,cop,o,1,2069
9,target1,block1,3,12,pass,s,1,1672
9,target2,block1,3,13,pat,no,1,1128
9,target1,block1,3,14,thigh,th,1,1422
9,filler,block1,3,15,tick,tick,1,1215
9,target1,block1,4,16,gross,s,1,4194
9,target2,block1,4,17,bod,o,1,1564
9,target2,block1,4,18,mop,o,1,1519
9,target1,block1,4,19,myth,th,1,920
9,filler,block1,4,20,core,core,1,1037
9,target2,block1,5,21,foster,o,1,974
9,target1,block1,5,22,seem,s,1,764
9,target1,block1,5,23,path,th,1,862
9,target2,block1,5,24,block,o,1,801
9,filler,block1,5,25,tear,tear,1,1314
9,target1,block1,6,26,growth,th,1,1108
9,target2,block1,6,27,bond,o,1,932
9,target2,block1,6,28,bad,no,1,1290
9,target1,block1,6,29,miss,s,1,1011
9,filler,block1,6,30,male,male,1,1262
9,target1,block1,7,31,sought,s,1,1302
9,target2,block1,7,32,cap,no,1,1565
9,target2,block1,7,33,map,no,1,994
9,target1,block1,7,34,worse,s,1,2967
9,filler,block1,7,35,guest,guest,1,1141
9,target2,block1,8,36,bottle,o,0,8143
9,target1,block1,8,37,sigh,s,1,1892
9,target1,block1,8,38,sink,s,1,2200
9,target2,block1,8,39,pot,o,1,1336
9,filler,block1,8,40,dental,dental,1,1027
10,target1,block1,1,1,sought,s,0,9999
10,target2,block1,1,2,black,no,1,1138
10,target2,block1,1,3,battle,no,0,2549
10,target1,block1,1,4,think,th,1,1907
10,filler,block1,1,5,fell,fell,1,1955
10,target1,block1,2,6,theme,th,1,965
10,target2,block1,2,7,faster,no,1,1363
10,target1,block1,2,8,worth,th,1,2294
10,target2,block1,2,9,band,no,1,3090
10,filler,block1,2,10,leak,leak,1,2103
10,target2,block1,3,11,cop,o,1,1455
10,target1,block1,3,12,pass,s,1,1411
10,target2,block1,3,13,pat,no,1,936
10,target1,block1,3,14,thigh,th,1,5108
10,filler,block1,3,15,tick,tick,1,1079
10,target1,block1,4,16,growth,th,0,2016
10,target2,block1,4,17,bod,o,1,4288
10,target2,block1,4,18,mop,o,1,1180
10,target1,block1,4,19,myth,th,1,1143
10,filler,block1,4,20,core,core,1,1626
10,target2,block1,5,21,foster,o,1,1586
10,target1,block1,5,22,seem,s,1,1377
10,target1,block1,5,23,path,th,1,1459
10,target2,block1,5,24,block,o,1,1026
10,filler,block1,5,25,tear,tear,1,724
10,target1,block1,6,26,growth,th,1,1965
10,target2,block1,6,27,bond,o,1,1335
10,target2,block1,6,28,bad,no,1,848
10,target1,block1,6,29,myth,th,0,3609
10,filler,block1,6,30,male,male,1,1570
10,target1,block1,7,31,sought,s,1,2230
10,target2,block1,7,32,cap,no,1,813
10,target2,block1,7,33,map,no,1,638
10,target1,block1,7,34,worse,s,1,1278
10,filler,block1,7,35,guest,guest,1,1170
10,target2,block1,8,36,battle,no,1,2579
10,target1,block1,8,37,sigh,s,1,1237
10,target1,block1,8,38,sink,s,1,864
10,target2,block1,8,39,pot,o,1,1050
10,filler,block1,8,40,dental,dental,1,932
11,target1,block1,1,1,sought,s,0,3788
11,target2,block1,1,2,black,no,1,1264
11,target2,block1,1,3,bottle,o,1,2859
11,target1,block1,1,4,sink,s,0,1485
11,filler,block1,1,5,fell,fell,1,3114
11,target1,block1,2,6,theme,th,1,1507
11,target2,block1,2,7,faster,no,1,1388
11,target1,block1,2,8,worse,s,0,5305
11,target2,block1,2,9,band,no,1,2488
11,filler,block1,2,10,leak,leak,1,2449
11,target2,block1,3,11,cop,o,1,1953
11,target1,block1,3,12,pass,s,1,1973
11,target2,block1,3,13,pat,no,1,1506
11,target1,block1,3,14,thigh,th,1,2462
11,filler,block1,3,15,tick,tick,1,1793
11,target1,block1,4,16,gross,s,1,1507
11,target2,block1,4,17,bod,o,1,3666
11,target2,block1,4,18,mop,o,1,3459
11,target1,block1,4,19,myth,th,1,1748
11,filler,block1,4,20,core,core,1,1340
11,target2,block1,5,21,foster,o,1,2602
11,target1,block1,5,22,seem,s,1,1163
11,target1,block1,5,23,path,th,1,885
11,target2,block1,5,24,block,o,1,1408
11,filler,block1,5,25,tear,tear,1,961
11,target1,block1,6,26,growth,th,1,1487
11,target2,block1,6,27,bond,o,1,998
11,target2,block1,6,28,bad,no,1,1380
11,target1,block1,6,29,miss,s,1,1021
11,filler,block1,6,30,male,male,1,1466
11,target1,block1,7,31,sought,s,1,1486
11,target2,block1,7,32,cap,no,1,767
11,target2,block1,7,33,map,no,1,1435
11,target1,block1,7,34,worse,s,1,1122
11,filler,block1,7,35,guest,guest,1,1079
11,target2,block1,8,36,battle,no,1,964
11,target1,block1,8,37,sigh,s,1,957
11,target1,block1,8,38,sink,s,1,720
11,target2,block1,8,39,pot,o,1,953
11,filler,block1,8,40,dental,dental,1,849
12,target1,block1,1,1,thought,th,1,1717
12,target2,block1,1,2,black,no,1,993
12,target2,block1,1,3,bottle,o,1,1780
12,target1,block1,1,4,sink,s,0,2811
12,filler,block1,1,5,fell,fell,1,2665
12,target1,block1,2,6,theme,th,1,1372
12,target2,block1,2,7,foster,o,0,2157
12,target1,block1,2,8,worth,th,1,1745
12,target2,block1,2,9,band,no,1,2876
12,filler,block1,2,10,leak,leak,1,2571
12,target2,block1,3,11,cop,o,1,4420
12,target1,block1,3,12,pass,s,1,2231
12,target2,block1,3,13,pat,no,1,2156
12,target1,block1,3,14,thigh,th,1,1940
12,filler,block1,3,15,tick,tick,1,1538
12,target1,block1,4,16,growth,th,0,2083
12,target2,block1,4,17,bod,o,1,2809
12,target2,block1,4,18,mop,o,1,1554
12,target1,block1,4,19,myth,th,1,2433
12,filler,block1,4,20,core,core,1,1645
12,target2,block1,5,21,foster,o,1,1877
12,target1,block1,5,22,seem,s,1,1056
12,target1,block1,5,23,path,th,1,1284
12,target2,block1,5,24,block,o,1,1023
12,filler,block1,5,25,tear,tear,1,1084
12,target1,block1,6,26,growth,th,1,1196
12,target2,block1,6,27,bond,o,1,1162
12,target2,block1,6,28,bad,no,1,989
12,target1,block1,6,29,miss,s,1,1104
12,filler,block1,6,30,male,male,1,1195
12,target1,block1,7,31,sought,s,1,1610
12,target2,block1,7,32,cap,no,1,831
12,target2,block1,7,33,map,no,1,922
12,target1,block1,7,34,worth,th,0,1254
12,filler,block1,7,35,guest,guest,1,1725
12,target2,block1,8,36,battle,no,1,1086
12,target1,block1,8,37,sigh,s,1,1173
12,target1,block1,8,38,sink,s,1,1563
12,target2,block1,8,39,pat,no,0,1256
12,filler,block1,8,40,dental,dental,1,1322
13,target1,block1,1,1,thought,th,1,1933
13,target2,block1,1,2,black,no,1,1264
13,target2,block1,1,3,battle,no,0,3426
13,target1,block1,1,4,think,th,1,1205
13,filler,block1,1,5,fell,fell,1,2684
13,target1,block1,2,6,seem,s,0,1065
13,target2,block1,2,7,faster,no,1,1591
13,target1,block1,2,8,worth,th,1,2009
13,target2,block1,2,9,band,no,1,1341
13,filler,block1,2,10,leak,leak,1,1352
13,target2,block1,3,11,cap,no,0,1698
13,target1,block1,3,12,path,th,0,2050
13,target2,block1,3,13,pat,no,1,1114
13,target1,block1,3,14,sigh,s,0,1824
13,filler,block1,3,15,tick,tick,1,899
13,target1,block1,4,16,growth,th,0,1151
13,target2,block1,4,17,bod,o,1,4804
13,target2,block1,4,18,map,no,0,1174
13,target1,block1,4,19,miss,s,0,1542
13,filler,block1,4,20,core,core,1,1542
13,target2,block1,5,21,foster,o,1,840
13,target1,block1,5,22,seem,s,1,2903
13,target1,block1,5,23,path,th,1,1602
13,target2,block1,5,24,block,o,1,680
13,filler,block1,5,25,tear,tear,1,1167
13,target1,block1,6,26,growth,th,1,1364
13,target2,block1,6,27,bond,o,1,2987
13,target2,block1,6,28,bad,no,1,870
13,target1,block1,6,29,miss,s,1,1151
13,filler,block1,6,30,male,male,1,1556
13,target1,block1,7,31,sought,s,1,1262
13,target2,block1,7,32,cap,no,1,977
13,target2,block1,7,33,map,no,1,1299
13,target1,block1,7,34,worse,s,1,2234
13,filler,block1,7,35,guest,guest,1,1108
13,target2,block1,8,36,battle,no,1,2442
13,target1,block1,8,37,sigh,s,1,3354
13,target1,block1,8,38,think,th,0,2587
13,target2,block1,8,39,pot,o,1,937
13,filler,block1,8,40,dental,dental,1,1004
14,target1,block1,1,1,sought,s,0,3481
14,target2,block1,1,2,black,no,1,1531
14,target2,block1,1,3,bottle,o,1,6367
14,target1,block1,1,4,sink,s,0,1041
14,filler,block1,1,5,fell,fell,1,1880
14,target1,block1,2,6,theme,th,1,1928
14,target2,block1,2,7,faster,no,1,1984
14,target1,block1,2,8,worse,s,0,1634
14,target2,block1,2,9,band,no,1,977
14,filler,block1,2,10,leak,leak,1,1783
14,target2,block1,3,11,cop,o,1,3936
14,target1,block1,3,12,pass,s,1,1373
14,target2,block1,3,13,pat,no,1,1832
14,target1,block1,3,14,thigh,th,1,889
14,filler,block1,3,15,tick,tick,1,1831
14,target1,block1,4,16,gross,s,1,1915
14,target2,block1,4,17,bod,o,1,3486
14,target2,block1,4,18,mop,o,1,1491
14,target1,block1,4,19,myth,th,1,1199
14,filler,block1,4,20,core,core,1,1438
14,target2,block1,5,21,foster,o,1,925
14,target1,block1,5,22,seem,s,1,1460
14,target1,block1,5,23,path,th,1,933
14,target2,block1,5,24,block,o,1,1493
14,filler,block1,5,25,tear,tear,1,927
14,target1,block1,6,26,growth,th,1,770
14,target2,block1,6,27,bond,o,1,1611
14,target2,block1,6,28,bad,no,1,629
14,target1,block1,6,29,miss,s,1,943
14,filler,block1,6,30,male,male,1,1403
14,target1,block1,7,31,sought,s,1,1371
14,target2,block1,7,32,cap,no,1,1253
14,target2,block1,7,33,map,no,1,807
14,target1,block1,7,34,worse,s,1,1148
14,filler,block1,7,35,guest,guest,1,729
14,target2,block1,8,36,battle,no,1,883
14,target1,block1,8,37,sigh,s,1,1619
14,target1,block1,8,38,sink,s,1,1509
14,target2,block1,8,39,pot,o,1,1443
14,filler,block1,8,40,dental,dental,1,997
15,target1,block1,1,1,sought,s,0,2572
15,target2,block1,1,2,black,no,1,1678
15,target2,block1,1,3,bottle,o,1,3984
15,target1,block1,1,4,think,th,1,734
15,filler,block1,1,5,fell,fell,1,1699
15,target1,block1,2,6,theme,th,1,1554
15,target2,block1,2,7,faster,no,1,1729
15,target1,block1,2,8,worse,s,0,5401
15,target2,block1,2,9,band,no,1,3564
15,filler,block1,2,10,leak,leak,1,1759
15,target2,block1,3,11,cop,o,1,2782
15,target1,block1,3,12,pass,s,1,1300
15,target2,block1,3,13,pat,no,1,2514
15,target1,block1,3,14,sigh,s,0,2833
15,filler,block1,3,15,tick,tick,1,1318
15,target1,block1,4,16,gross,s,1,4613
15,target2,block1,4,17,bad,no,0,1453
15,target2,block1,4,18,map,no,0,786
15,target1,block1,4,19,myth,th,1,2989
15,filler,block1,4,20,core,core,1,1507
15,target2,block1,5,21,foster,o,1,1437
15,target1,block1,5,22,seem,s,1,1298
15,target1,block1,5,23,path,th,1,815
15,target2,block1,5,24,block,o,1,1245
15,filler,block1,5,25,tear,tear,1,812
15,target1,block1,6,26,growth,th,1,988
15,target2,block1,6,27,bond,o,1,1638
15,target2,block1,6,28,bad,no,1,2303
15,target1,block1,6,29,miss,s,1,817
15,filler,block1,6,30,male,male,1,1016
15,target1,block1,7,31,sought,s,1,3440
15,target2,block1,7,32,cap,no,1,836
15,target2,block1,7,33,map,no,1,1649
15,target1,block1,7,34,worse,s,1,850
15,filler,block1,7,35,guest,guest,1,1017
15,target2,block1,8,36,battle,no,1,1261
15,target1,block1,8,37,sigh,s,1,2375
15,target1,block1,8,38,sink,s,1,1511
15,target2,block1,8,39,pot,o,1,1063
15,filler,block1,8,40,dental,dental,1,928
16,target1,block1,1,1,thought,th,1,2084
16,target2,block1,1,2,black,no,1,4375
16,target2,block1,1,3,battle,no,0,3789
16,target1,block1,1,4,sink,s,0,1794
16,filler,block1,1,5,fell,fell,1,1912
16,target1,block1,2,6,theme,th,1,1906
16,target2,block1,2,7,faster,no,1,1083
16,target1,block1,2,8,worth,th,1,1144
16,target2,block1,2,9,band,no,1,3011
16,filler,block1,2,10,leak,leak,1,1413
16,target2,block1,3,11,cop,o,1,1746
16,target1,block1,3,12,pass,s,1,1193
16,target2,block1,3,13,pat,no,1,857
16,target1,block1,3,14,sigh,s,0,1186
16,filler,block1,3,15,tick,tick,1,969
16,target1,block1,4,16,gross,s,1,2149
16,target2,block1,4,17,bad,no,0,5506
16,target2,block1,4,18,map,no,0,1010
16,target1,block1,4,19,myth,th,1,1283
16,filler,block1,4,20,core,core,1,1517
16,target2,block1,5,21,foster,o,1,2649
16,target1,block1,5,22,seem,s,1,1197
16,target1,block1,5,23,path,th,1,1065
16,target2,block1,5,24,block,o,1,686
16,filler,block1,5,25,tear,tear,1,614
16,target1,block1,6,26,growth,th,1,765
16,target2,block1,6,27,bond,o,1,709
16,target2,block1,6,28,bad,no,1,1894
16,target1,block1,6,29,miss,s,1,514
16,filler,block1,6,30,male,male,1,1157
16,target1,block1,7,31,sought,s,1,940
16,target2,block1,7,32,cap,no,1,3173
16,target2,block1,7,33,map,no,1,1662
16,target1,block1,7,34,worse,s,1,1075
16,filler,block1,7,35,guest,guest,1,932
16,target2,block1,8,36,bottle,o,0,2762
16,target1,block1,8,37,sigh,s,1,679
16,target1,block1,8,38,sink,s,1,443
16,target2,block1,8,39,pot,o,1,527
16,filler,block1,8,40,dental,dental,1,2350
