"subject","controller","condition","word","response","raw_response_time","response_time","type","block_G","group","subject_dummy","response_time1","dummy_type","subject2","subject3","means","adjusted_response_time","similarity_G","sound","similarity"
1,"Question","item-target2-block1-group7","map","1",734,734,"Vowel","block1",7,"1_Vowel_block1_",734,"filler","1_filler_block1_","1_Vowel_block1_",1209.875,-475.875,"distant","-0.5","0.5"
1,"Question","item-target1-block1-group7","worth","0",905,905,"Consonant","block1",7,"1_Consonant_block1_",905,"filler","1_filler_block1_","1_Consonant_block1_",1209.875,-304.875,"distant","0.5","0.5"
1,"Question","item-target2-block1-group8","battle","1",998,998,"Vowel","block1",8,"1_Vowel_block1_",998,"filler","1_filler_block1_","1_Vowel_block1_",1209.875,-211.875,"distant","-0.5","0.5"
1,"Question","item-target1-block1-group8","sigh","1",683,683,"Consonant","block1",8,"1_Consonant_block1_",683,"filler","1_filler_block1_","1_Consonant_block1_",1209.875,-526.875,"close","0.5","0.5"
1,"Question","item-target1-block1-group8","think","0",645,645,"Consonant","block1",8,"1_Consonant_block1_",645,"filler","1_filler_block1_","1_Consonant_block1_",1209.875,-564.875,"distant","0.5","0.5"
1,"Question","item-target2-block1-group8","pot","1",908,908,"Vowel","block1",8,"1_Vowel_block1_",908,"filler","1_filler_block1_","1_Vowel_block1_",1209.875,-301.875,"close","-0.5","0.5"
1,"Question","item-target2-block2-group9","black","1",798,798,"Vowel","block2",9,"1_Vowel_block2_",798,"filler","1_filler_block2_","1_Vowel_block2_",954.125,-156.125,"distant","-0.5","0.5"
1,"Question","item-target1-block2-group9","think","0",1554,1554,"Consonant","block2",9,"1_Consonant_block2_",1554,"filler","1_filler_block2_","1_Consonant_block2_",954.125,599.875,"distant","0.5","0.5"
1,"Question","item-target2-block2-group9","foster","1",973,973,"Vowel","block2",9,"1_Vowel_block2_",973,"filler","1_filler_block2_","1_Vowel_block2_",954.125,18.875,"close","-0.5","0.5"
1,"Question","item-target1-block2-group9","path","1",593,593,"Consonant","block2",9,"1_Consonant_block2_",593,"filler","1_filler_block2_","1_Consonant_block2_",954.125,-361.125,"distant","0.5","0.5"
1,"Question","item-target1-block2-group10","growth","0",1671,1671,"Consonant","block2",10,"1_Consonant_block2_",1671,"filler","1_filler_block2_","1_Consonant_block2_",954.125,716.875,"distant","0.5","0.5"
1,"Question","item-target2-block2-group10","pot","1",698,698,"Vowel","block2",10,"1_Vowel_block2_",698,"filler","1_filler_block2_","1_Vowel_block2_",954.125,-256.125,"close","-0.5","0.5"
1,"Question","item-target2-block2-group10","bond","1",718,718,"Vowel","block2",10,"1_Vowel_block2_",718,"filler","1_filler_block2_","1_Vowel_block2_",954.125,-236.125,"close","-0.5","0.5"
1,"Question","item-target1-block2-group10","worth","1",1031,1031,"Consonant","block2",10,"1_Consonant_block2_",1031,"filler","1_filler_block2_","1_Consonant_block2_",954.125,76.875,"distant","0.5","0.5"
1,"Question","item-target1-block2-group11","seem","1",649,649,"Consonant","block2",11,"1_Consonant_block2_",649,"filler","1_filler_block2_","1_Consonant_block2_",954.125,-305.125,"close","0.5","0.5"
1,"Question","item-target2-block2-group11","bad","1",818,818,"Vowel","block2",11,"1_Vowel_block2_",818,"filler","1_filler_block2_","1_Vowel_block2_",954.125,-136.125,"distant","-0.5","0.5"
1,"Question","item-target1-block2-group11","sigh","1",629,629,"Consonant","block2",11,"1_Consonant_block2_",629,"filler","1_filler_block2_","1_Consonant_block2_",954.125,-325.125,"close","0.5","0.5"
1,"Question","item-target2-block2-group11","cap","0",566,566,"Vowel","block2",11,"1_Vowel_block2_",566,"filler","1_filler_block2_","1_Vowel_block2_",954.125,-388.125,"distant","-0.5","0.5"
1,"Question","item-target2-block2-group12","battle","0",658,658,"Vowel","block2",12,"1_Vowel_block2_",658,"filler","1_filler_block2_","1_Vowel_block2_",954.125,-296.125,"distant","-0.5","0.5"
1,"Question","item-target1-block2-group12","myth","0",1790,1790,"Consonant","block2",12,"1_Consonant_block2_",1790,"filler","1_filler_block2_","1_Consonant_block2_",954.125,835.875,"distant","0.5","0.5"
1,"Question","item-target2-block2-group12","mop","1",540,540,"Vowel","block2",12,"1_Vowel_block2_",540,"filler","1_filler_block2_","1_Vowel_block2_",954.125,-414.125,"close","-0.5","0.5"
1,"Question","item-target1-block2-group12","thought","1",1751,1751,"Consonant","block2",12,"1_Consonant_block2_",1751,"filler","1_filler_block2_","1_Consonant_block2_",954.125,796.875,"distant","0.5","0.5"
1,"Question","item-target2-block2-group13","faster","1",763,763,"Vowel","block2",13,"1_Vowel_block2_",763,"filler","1_filler_block2_","1_Vowel_block2_",954.125,-191.125,"distant","-0.5","0.5"
1,"Question","item-target1-block2-group13","worse","1",1426,1426,"Consonant","block2",13,"1_Consonant_block2_",1426,"filler","1_filler_block2_","1_Consonant_block2_",954.125,471.875,"close","0.5","0.5"
1,"Question","item-target2-block2-group13","band","1",781,781,"Vowel","block2",13,"1_Vowel_block2_",781,"filler","1_filler_block2_","1_Vowel_block2_",954.125,-173.125,"distant","-0.5","0.5"
1,"Question","item-target1-block2-group13","growth","1",1145,1145,"Consonant","block2",13,"1_Consonant_block2_",1145,"filler","1_filler_block2_","1_Consonant_block2_",954.125,190.875,"distant","0.5","0.5"
1,"Question","item-target2-block2-group14","pat","1",902,902,"Vowel","block2",14,"1_Vowel_block2_",902,"filler","1_filler_block2_","1_Vowel_block2_",954.125,-52.125,"distant","-0.5","0.5"
1,"Question","item-target1-block2-group14","think","1",902,902,"Consonant","block2",14,"1_Consonant_block2_",902,"filler","1_filler_block2_","1_Consonant_block2_",954.125,-52.125,"distant","0.5","0.5"
1,"Question","item-target1-block2-group14","sought","1",1359,1359,"Consonant","block2",14,"1_Consonant_block2_",1359,"filler","1_filler_block2_","1_Consonant_block2_",954.125,404.875,"close","0.5","0.5"
1,"Question","item-target2-block2-group14","cap","1",710,710,"Vowel","block2",14,"1_Vowel_block2_",710,"filler","1_filler_block2_","1_Vowel_block2_",954.125,-244.125,"distant","-0.5","0.5"
1,"Question","item-target1-block2-group15","path","0",840,840,"Consonant","block2",15,"1_Consonant_block2_",840,"filler","1_filler_block2_","1_Consonant_block2_",954.125,-114.125,"distant","0.5","0.5"
1,"Question","item-target2-block2-group15","map","1",845,845,"Vowel","block2",15,"1_Vowel_block2_",845,"filler","1_filler_block2_","1_Vowel_block2_",954.125,-109.125,"distant","-0.5","0.5"
1,"Question","item-target2-block2-group15","bad","0",544,544,"Vowel","block2",15,"1_Vowel_block2_",544,"filler","1_filler_block2_","1_Vowel_block2_",954.125,-410.125,"distant","-0.5","0.5"
1,"Question","item-target1-block2-group15","thigh","1",699,699,"Consonant","block2",15,"1_Consonant_block2_",699,"filler","1_filler_block2_","1_Consonant_block2_",954.125,-255.125,"distant","0.5","0.5"
1,"Question","item-target1-block2-group16","myth","1",789,789,"Consonant","block2",16,"1_Consonant_block2_",789,"filler","1_filler_block2_","1_Consonant_block2_",954.125,-165.125,"distant","0.5","0.5"
1,"Question","item-target2-block2-group16","battle","1",870,870,"Vowel","block2",16,"1_Vowel_block2_",870,"filler","1_filler_block2_","1_Vowel_block2_",954.125,-84.125,"distant","-0.5","0.5"
1,"Question","item-target2-block2-group16","block","1",766,766,"Vowel","block2",16,"1_Vowel_block2_",766,"filler","1_filler_block2_","1_Vowel_block2_",954.125,-188.125,"close","-0.5","0.5"
1,"Question","item-target1-block2-group16","theme","1",975,975,"Consonant","block2",16,"1_Consonant_block2_",975,"filler","1_filler_block2_","1_Consonant_block2_",954.125,20.875,"distant","0.5","0.5"
1,"Question","item-target2-block3-group17","bad","0",1055,1055,"Vowel","block3",17,"1_Vowel_block3_",1055,"filler","1_filler_block3_","1_Vowel_block3_",1134.625,-79.625,"distant","-0.5","0.5"
1,"Question","item-target1-block3-group17","sigh","0",1531,1531,"Consonant","block3",17,"1_Consonant_block3_",1531,"filler","1_filler_block3_","1_Consonant_block3_",1134.625,396.375,"close","0.5","0.5"
1,"Question","item-target1-block3-group17","miss","0",843,843,"Consonant","block3",17,"1_Consonant_block3_",843,"filler","1_filler_block3_","1_Consonant_block3_",1134.625,-291.625,"close","0.5","0.5"
1,"Question","item-target2-block3-group17","bond","1",910,910,"Vowel","block3",17,"1_Vowel_block3_",910,"filler","1_filler_block3_","1_Vowel_block3_",1134.625,-224.625,"close","-0.5","0.5"
1,"Question","item-target1-block3-group18","growth","0",2204,2204,"Consonant","block3",18,"1_Consonant_block3_",2204,"filler","1_filler_block3_","1_Consonant_block3_",1134.625,1069.375,"distant","0.5","0.5"
1,"Question","item-target2-block3-group18","cap","1",840,840,"Vowel","block3",18,"1_Vowel_block3_",840,"filler","1_filler_block3_","1_Vowel_block3_",1134.625,-294.625,"distant","-0.5","0.5"
1,"Question","item-target1-block3-group18","think","0",507,507,"Consonant","block3",18,"1_Consonant_block3_",507,"filler","1_filler_block3_","1_Consonant_block3_",1134.625,-627.625,"distant","0.5","0.5"
1,"Question","item-target2-block3-group18","black","1",763,763,"Vowel","block3",18,"1_Vowel_block3_",763,"filler","1_filler_block3_","1_Vowel_block3_",1134.625,-371.625,"distant","-0.5","0.5"
1,"Question","item-target1-block3-group19","thought","1",1175,1175,"Consonant","block3",19,"1_Consonant_block3_",1175,"filler","1_filler_block3_","1_Consonant_block3_",1134.625,40.375,"distant","0.5","0.5"
1,"Question","item-target2-block3-group19","pat","1",549,549,"Vowel","block3",19,"1_Vowel_block3_",549,"filler","1_filler_block3_","1_Vowel_block3_",1134.625,-585.625,"distant","-0.5","0.5"
1,"Question","item-target2-block3-group19","block","1",1181,1181,"Vowel","block3",19,"1_Vowel_block3_",1181,"filler","1_filler_block3_","1_Vowel_block3_",1134.625,46.375,"close","-0.5","0.5"
1,"Question","item-target1-block3-group19","pass","0",475,475,"Consonant","block3",19,"1_Consonant_block3_",475,"filler","1_filler_block3_","1_Consonant_block3_",1134.625,-659.625,"close","0.5","0.5"
1,"Question","item-target1-block3-group20","theme","1",527,527,"Consonant","block3",20,"1_Consonant_block3_",527,"filler","1_filler_block3_","1_Consonant_block3_",1134.625,-607.625,"distant","0.5","0.5"
1,"Question","item-target2-block3-group20","foster","1",590,590,"Vowel","block3",20,"1_Vowel_block3_",590,"filler","1_filler_block3_","1_Vowel_block3_",1134.625,-544.625,"close","-0.5","0.5"
1,"Question","item-target2-block3-group20","mop","1",557,557,"Vowel","block3",20,"1_Vowel_block3_",557,"filler","1_filler_block3_","1_Vowel_block3_",1134.625,-577.625,"close","-0.5","0.5"
1,"Question","item-target1-block3-group20","worse","1",1820,1820,"Consonant","block3",20,"1_Consonant_block3_",1820,"filler","1_filler_block3_","1_Consonant_block3_",1134.625,685.375,"close","0.5","0.5"
1,"Question","item-target2-block3-group21","band","1",942,942,"Vowel","block3",21,"1_Vowel_block3_",942,"filler","1_filler_block3_","1_Vowel_block3_",1134.625,-192.625,"distant","-0.5","0.5"
1,"Question","item-target1-block3-group21","miss","1",885,885,"Consonant","block3",21,"1_Consonant_block3_",885,"filler","1_filler_block3_","1_Consonant_block3_",1134.625,-249.625,"close","0.5","0.5"
1,"Question","item-target2-block3-group21","bad","1",688,688,"Vowel","block3",21,"1_Vowel_block3_",688,"filler","1_filler_block3_","1_Vowel_block3_",1134.625,-446.625,"distant","-0.5","0.5"
1,"Question","item-target1-block3-group21","growth","1",1003,1003,"Consonant","block3",21,"1_Consonant_block3_",1003,"filler","1_filler_block3_","1_Consonant_block3_",1134.625,-131.625,"distant","0.5","0.5"
1,"Question","item-target2-block3-group22","mop","0",489,489,"Vowel","block3",22,"1_Vowel_block3_",489,"filler","1_filler_block3_","1_Vowel_block3_",1134.625,-645.625,"close","-0.5","0.5"
1,"Question","item-target1-block3-group22","sigh","1",649,649,"Consonant","block3",22,"1_Consonant_block3_",649,"filler","1_filler_block3_","1_Consonant_block3_",1134.625,-485.625,"close","0.5","0.5"
1,"Question","item-target2-block3-group22","battle","0",800,800,"Vowel","block3",22,"1_Vowel_block3_",800,"filler","1_filler_block3_","1_Vowel_block3_",1134.625,-334.625,"distant","-0.5","0.5"
1,"Question","item-target1-block3-group22","sought","1",917,917,"Consonant","block3",22,"1_Consonant_block3_",917,"filler","1_filler_block3_","1_Consonant_block3_",1134.625,-217.625,"close","0.5","0.5"
1,"Question","item-target1-block3-group23","think","1",711,711,"Consonant","block3",23,"1_Consonant_block3_",711,"filler","1_filler_block3_","1_Consonant_block3_",1134.625,-423.625,"distant","0.5","0.5"
1,"Question","item-target2-block3-group23","cop","1",984,984,"Vowel","block3",23,"1_Vowel_block3_",984,"filler","1_filler_block3_","1_Vowel_block3_",1134.625,-150.625,"close","-0.5","0.5"
1,"Question","item-target2-block3-group23","pot","1",785,785,"Vowel","block3",23,"1_Vowel_block3_",785,"filler","1_filler_block3_","1_Vowel_block3_",1134.625,-349.625,"close","-0.5","0.5"
1,"Question","item-target1-block3-group23","worth","1",1743,1743,"Consonant","block3",23,"1_Consonant_block3_",1743,"filler","1_filler_block3_","1_Consonant_block3_",1134.625,608.375,"distant","0.5","0.5"
1,"Question","item-target1-block3-group24","theme","0",919,919,"Consonant","block3",24,"1_Consonant_block3_",919,"filler","1_filler_block3_","1_Consonant_block3_",1134.625,-215.625,"distant","0.5","0.5"
1,"Question","item-target2-block3-group24","faster","1",776,776,"Vowel","block3",24,"1_Vowel_block3_",776,"filler","1_filler_block3_","1_Vowel_block3_",1134.625,-358.625,"distant","-0.5","0.5"
1,"Question","item-target1-block3-group24","path","0",975,975,"Consonant","block3",24,"1_Consonant_block3_",975,"filler","1_filler_block3_","1_Consonant_block3_",1134.625,-159.625,"distant","0.5","0.5"
1,"Question","item-target2-block3-group24","bottle","0",615,615,"Vowel","block3",24,"1_Vowel_block3_",615,"filler","1_filler_block3_","1_Vowel_block3_",1134.625,-519.625,"close","-0.5","0.5"
1,"Question","item-target2-block4-group25","box","0",1584,1584,"Vowel","block4",25,"1_Vowel_block4_",1584,"filler","1_filler_block4_","1_Vowel_block4_",1044.625,539.375,"close","-0.5","0.5"
1,"Question","item-target1-block4-group25","sing","1",1036,1036,"Consonant","block4",25,"1_Consonant_block4_",1036,"filler","1_filler_block4_","1_Consonant_block4_",1044.625,-8.625,"close","0.5","0.5"
1,"Question","item-target2-block4-group25","tap","1",686,686,"Vowel","block4",25,"1_Vowel_block4_",686,"filler","1_filler_block4_","1_Vowel_block4_",1044.625,-358.625,"distant","-0.5","0.5"
1,"Question","item-target1-block4-group25","face","0",1308,1308,"Consonant","block4",25,"1_Consonant_block4_",1308,"filler","1_filler_block4_","1_Consonant_block4_",1044.625,263.375,"close","0.5","0.5"
1,"Question","item-target1-block4-group26","mouse","1",1248,1248,"Consonant","block4",26,"1_Consonant_block4_",1248,"filler","1_filler_block4_","1_Consonant_block4_",1044.625,203.375,"close","0.5","0.5"
1,"Question","item-target2-block4-group26","rock","1",1096,1096,"Vowel","block4",26,"1_Vowel_block4_",1096,"filler","1_filler_block4_","1_Vowel_block4_",1044.625,51.375,"close","-0.5","0.5"
1,"Question","item-target2-block4-group26","hot","1",1160,1160,"Vowel","block4",26,"1_Vowel_block4_",1160,"filler","1_filler_block4_","1_Vowel_block4_",1044.625,115.375,"close","-0.5","0.5"
1,"Question","item-target1-block4-group26","forth","1",1524,1524,"Consonant","block4",26,"1_Consonant_block4_",1524,"filler","1_filler_block4_","1_Consonant_block4_",1044.625,479.375,"distant","0.5","0.5"
1,"Question","item-target1-block4-group27","thumb","1",1098,1098,"Consonant","block4",27,"1_Consonant_block4_",1098,"filler","1_filler_block4_","1_Consonant_block4_",1044.625,53.375,"distant","0.5","0.5"
1,"Question","item-target2-block4-group27","lack","1",905,905,"Vowel","block4",27,"1_Vowel_block4_",905,"filler","1_filler_block4_","1_Vowel_block4_",1044.625,-139.625,"distant","-0.5","0.5"
1,"Question","item-target1-block4-group27","sick","1",834,834,"Consonant","block4",27,"1_Consonant_block4_",834,"filler","1_filler_block4_","1_Consonant_block4_",1044.625,-210.625,"close","0.5","0.5"
1,"Question","item-target2-block4-group27","rot","1",1306,1306,"Vowel","block4",27,"1_Vowel_block4_",1306,"filler","1_filler_block4_","1_Vowel_block4_",1044.625,261.375,"close","-0.5","0.5"
1,"Question","item-target2-block4-group28","stamp","0",2154,2154,"Vowel","block4",28,"1_Vowel_block4_",2154,"filler","1_filler_block4_","1_Vowel_block4_",1044.625,1109.375,"distant","-0.5","0.5"
1,"Question","item-target1-block4-group28","mass","1",874,874,"Consonant","block4",28,"1_Consonant_block4_",874,"filler","1_filler_block4_","1_Consonant_block4_",1044.625,-170.625,"close","0.5","0.5"
1,"Question","item-target2-block4-group28","sacks","1",1068,1068,"Vowel","block4",28,"1_Vowel_block4_",1068,"filler","1_filler_block4_","1_Vowel_block4_",1044.625,23.375,"distant","-0.5","0.5"
1,"Question","item-target1-block4-group28","thin","1",1376,1376,"Consonant","block4",28,"1_Consonant_block4_",1376,"filler","1_filler_block4_","1_Consonant_block4_",1044.625,331.375,"distant","0.5","0.5"
1,"Question","item-target2-block4-group29","rock","0",835,835,"Vowel","block4",29,"1_Vowel_block4_",835,"filler","1_filler_block4_","1_Vowel_block4_",1044.625,-209.625,"close","-0.5","0.5"
1,"Question","item-target1-block4-group29","forth","0",1258,1258,"Consonant","block4",29,"1_Consonant_block4_",1258,"filler","1_filler_block4_","1_Consonant_block4_",1044.625,213.375,"distant","0.5","0.5"
1,"Question","item-target2-block4-group29","stamp","1",838,838,"Vowel","block4",29,"1_Vowel_block4_",838,"filler","1_filler_block4_","1_Vowel_block4_",1044.625,-206.625,"distant","-0.5","0.5"
1,"Question","item-target1-block4-group29","math","1",1006,1006,"Consonant","block4",29,"1_Consonant_block4_",1006,"filler","1_filler_block4_","1_Consonant_block4_",1044.625,-38.625,"distant","0.5","0.5"
1,"Question","item-target2-block4-group30","box","1",481,481,"Vowel","block4",30,"1_Vowel_block4_",481,"filler","1_filler_block4_","1_Vowel_block4_",1044.625,-563.625,"close","-0.5","0.5"
1,"Question","item-target1-block4-group30","thick","1",1160,1160,"Consonant","block4",30,"1_Consonant_block4_",1160,"filler","1_filler_block4_","1_Consonant_block4_",1044.625,115.375,"distant","0.5","0.5"
1,"Question","item-target1-block4-group30","thing","1",930,930,"Consonant","block4",30,"1_Consonant_block4_",930,"filler","1_filler_block4_","1_Consonant_block4_",1044.625,-114.625,"distant","0.5","0.5"
1,"Question","item-target2-block4-group30","hat","1",822,822,"Vowel","block4",30,"1_Vowel_block4_",822,"filler","1_filler_block4_","1_Vowel_block4_",1044.625,-222.625,"distant","-0.5","0.5"
1,"Question","item-target1-block4-group31","face","1",1583,1583,"Consonant","block4",31,"1_Consonant_block4_",1583,"filler","1_filler_block4_","1_Consonant_block4_",1044.625,538.375,"close","0.5","0.5"
1,"Question","item-target2-block4-group31","socks","1",1159,1159,"Vowel","block4",31,"1_Vowel_block4_",1159,"filler","1_filler_block4_","1_Vowel_block4_",1044.625,114.375,"close","-0.5","0.5"
1,"Question","item-target2-block4-group31","rat","1",723,723,"Vowel","block4",31,"1_Vowel_block4_",723,"filler","1_filler_block4_","1_Vowel_block4_",1044.625,-321.625,"distant","-0.5","0.5"
1,"Question","item-target1-block4-group31","thin","0",671,671,"Consonant","block4",31,"1_Consonant_block4_",671,"filler","1_filler_block4_","1_Consonant_block4_",1044.625,-373.625,"distant","0.5","0.5"
1,"Question","item-target1-block4-group32","mouth","1",984,984,"Consonant","block4",32,"1_Consonant_block4_",984,"filler","1_filler_block4_","1_Consonant_block4_",1044.625,-60.625,"distant","0.5","0.5"
1,"Question","item-target2-block4-group32","top","1",702,702,"Vowel","block4",32,"1_Vowel_block4_",702,"filler","1_filler_block4_","1_Vowel_block4_",1044.625,-342.625,"close","-0.5","0.5"
1,"Question","item-target2-block4-group32","lock","1",1144,1144,"Vowel","block4",32,"1_Vowel_block4_",1144,"filler","1_filler_block4_","1_Vowel_block4_",1044.625,99.375,"close","-0.5","0.5"
1,"Question","item-target1-block4-group32","some","1",1441,1441,"Consonant","block4",32,"1_Consonant_block4_",1441,"filler","1_filler_block4_","1_Consonant_block4_",1044.625,396.375,"close","0.5","0.5"
2,"Question","item-target1-block1-group1","thought","1",2014,2014,"Consonant","block1",1,"2_Consonant_block1_",2014,"filler","2_filler_block1_","2_Consonant_block1_",1247.375,766.625,"distant","0.5","0.5"
2,"Question","item-target2-block1-group1","black","1",2034,2034,"Vowel","block1",1,"2_Vowel_block1_",2034,"filler","2_filler_block1_","2_Vowel_block1_",1247.375,786.625,"distant","-0.5","0.5"
2,"Question","item-target2-block1-group1","battle","0",2222,2222,"Vowel","block1",1,"2_Vowel_block1_",2222,"filler","2_filler_block1_","2_Vowel_block1_",1247.375,974.625,"distant","-0.5","0.5"
2,"Question","item-target1-block1-group1","think","1",944,944,"Consonant","block1",1,"2_Consonant_block1_",944,"filler","2_filler_block1_","2_Consonant_block1_",1247.375,-303.375,"distant","0.5","0.5"
2,"Question","item-target1-block1-group2","theme","1",1953,1953,"Consonant","block1",2,"2_Consonant_block1_",1953,"filler","2_filler_block1_","2_Consonant_block1_",1247.375,705.625,"distant","0.5","0.5"
2,"Question","item-target2-block1-group2","faster","1",1344,1344,"Vowel","block1",2,"2_Vowel_block1_",1344,"filler","2_filler_block1_","2_Vowel_block1_",1247.375,96.625,"distant","-0.5","0.5"
2,"Question","item-target1-block1-group2","worth","1",1202,1202,"Consonant","block1",2,"2_Consonant_block1_",1202,"filler","2_filler_block1_","2_Consonant_block1_",1247.375,-45.375,"distant","0.5","0.5"
2,"Question","item-target2-block1-group2","band","1",1755,1755,"Vowel","block1",2,"2_Vowel_block1_",1755,"filler","2_filler_block1_","2_Vowel_block1_",1247.375,507.625,"close","-0.5","0.5"
2,"Question","item-target2-block1-group3","cop","1",2023,2023,"Vowel","block1",3,"2_Vowel_block1_",2023,"filler","2_filler_block1_","2_Vowel_block1_",1247.375,775.625,"distant","-0.5","0.5"
2,"Question","item-target1-block1-group3","pass","1",1315,1315,"Consonant","block1",3,"2_Consonant_block1_",1315,"filler","2_filler_block1_","2_Consonant_block1_",1247.375,67.625,"distant","0.5","0.5"
2,"Question","item-target2-block1-group3","pat","1",1163,1163,"Vowel","block1",3,"2_Vowel_block1_",1163,"filler","2_filler_block1_","2_Vowel_block1_",1247.375,-84.375,"distant","-0.5","0.5"
2,"Question","item-target1-block1-group3","thigh","1",1604,1604,"Consonant","block1",3,"2_Consonant_block1_",1604,"filler","2_filler_block1_","2_Consonant_block1_",1247.375,356.625,"close","0.5","0.5"
